Description,YearMonth,Consumption
"Coal Consumed by the Electric Power Sector",200013,20220.171
"Natural Gas Consumed by the Electric Power Sector (Excluding",200013,5293.375
"Petroleum Consumed by the Electric Power Sector",200013,1144.140
"Nuclear Electric Power Consumed by the Electric Power Sector",200013,7862.349
"Conventional Hydroelectric Power Consumed by the Electric Po",200013,2767.916
"Geothermal Energy Consumed by the Electric Power Sector",200013,143.764
"Solar/PV Energy Consumed by the Electric Power Sector",200013,5.033
"Wind Energy Consumed by the Electric Power Sector",200013,57.057
"Biomass Energy Consumed by the Electric Power Sector",200013,452.754
"Electric Power Sector Electricity Net Imports",200013,115.199
"Coal Consumed by the Electric Power Sector",200113,19613.673
"Natural Gas Consumed by the Electric Power Sector (Excluding",200113,5458.101
"Petroleum Consumed by the Electric Power Sector",200113,1276.376
"Nuclear Electric Power Consumed by the Electric Power Sector",200113,8028.853
"Conventional Hydroelectric Power Consumed by the Electric Po",200113,2208.671
"Geothermal Energy Consumed by the Electric Power Sector",200113,141.981
"Solar/PV Energy Consumed by the Electric Power Sector",200113,5.608
"Wind Energy Consumed by the Electric Power Sector",200113,69.617
"Biomass Energy Consumed by the Electric Power Sector",200113,337.138
"Electric Power Sector Electricity Net Imports",200113,75.156
"Coal Consumed by the Electric Power Sector",200213,19782.781
"Natural Gas Consumed by the Electric Power Sector (Excluding",200213,5766.812
"Petroleum Consumed by the Electric Power Sector",200213,961.185
"Nuclear Electric Power Consumed by the Electric Power Sector",200213,8145.429
"Conventional Hydroelectric Power Consumed by the Electric Po",200213,2649.979
"Geothermal Energy Consumed by the Electric Power Sector",200213,147.420
"Solar/PV Energy Consumed by the Electric Power Sector",200213,5.644
"Wind Energy Consumed by the Electric Power Sector",200213,105.334
"Biomass Energy Consumed by the Electric Power Sector",200213,379.974
"Electric Power Sector Electricity Net Imports",200213,71.595
"Coal Consumed by the Electric Power Sector",200313,20184.743
"Natural Gas Consumed by the Electric Power Sector (Excluding",200313,5246.249
"Petroleum Consumed by the Electric Power Sector",200313,1204.819
"Nuclear Electric Power Consumed by the Electric Power Sector",200313,7959.622
"Conventional Hydroelectric Power Consumed by the Electric Po",200313,2749.056
"Geothermal Energy Consumed by the Electric Power Sector",200313,146.045
"Solar/PV Energy Consumed by the Electric Power Sector",200313,5.407
"Wind Energy Consumed by the Electric Power Sector",200313,113.273
"Biomass Energy Consumed by the Electric Power Sector",200313,397.169
"Electric Power Sector Electricity Net Imports",200313,21.905
"Coal Consumed by the Electric Power Sector",200413,20305.035
"Natural Gas Consumed by the Electric Power Sector (Excluding",200413,5594.935
"Petroleum Consumed by the Electric Power Sector",200413,1200.997
"Nuclear Electric Power Consumed by the Electric Power Sector",200413,8222.774
"Conventional Hydroelectric Power Consumed by the Electric Po",200413,2654.880
"Geothermal Energy Consumed by the Electric Power Sector",200413,148.347
"Solar/PV Energy Consumed by the Electric Power Sector",200413,5.761
"Wind Energy Consumed by the Electric Power Sector",200413,141.664
"Biomass Energy Consumed by the Electric Power Sector",200413,388.066
"Electric Power Sector Electricity Net Imports",200413,38.597
"Coal Consumed by the Electric Power Sector",200513,20737.241
"Natural Gas Consumed by the Electric Power Sector (Excluding",200513,6014.548
"Petroleum Consumed by the Electric Power Sector",200513,1222.065
"Nuclear Electric Power Consumed by the Electric Power Sector",200513,8160.810
"Conventional Hydroelectric Power Consumed by the Electric Po",200513,2670.131
"Geothermal Energy Consumed by the Electric Power Sector",200513,146.903
